Timestamp,What is your favourite Pokémon?
6/13/2019 14:18:38,Salamence
6/13/2019 14:18:41,Togetic
6/13/2019 14:18:43,Meganium
6/13/2019 14:18:44,Scraggy
6/13/2019 14:19:02,Maractus
6/13/2019 14:18:49,Gallade
6/13/2019 14:18:50,Mimikyu
6/13/2019 14:18:51,Pachirisu
6/13/2019 14:18:52,Infernape
6/13/2019 14:18:53,Tentacruel
6/13/2019 14:18:59,Whimsicott
6/13/2019 14:19:01,Bulbasaur
6/13/2019 14:19:01,Nidoking
6/13/2019 14:19:03,Nidoking
6/13/2019 14:19:05,Crobat
6/13/2019 14:19:05,Dragonite
6/13/2019 14:19:08,Squirtle
6/13/2019 14:19:12,Arcanine
6/13/2019 14:19:17,Empoleon
6/13/2019 14:19:21,Dialga
6/13/2019 14:19:22,Torterra
6/13/2019 14:19:26,Dunsparce
6/13/2019 14:19:34,Chespin
6/13/2019 14:19:37,Arcanine
6/13/2019 14:19:39,Barbaracle
6/13/2019 14:19:47,Slowpoke
6/13/2019 14:19:49,Minior
6/13/2019 14:19:50,Slowbro
6/13/2019 14:19:52,Quilava
6/13/2019 14:20:04,Dusclops
6/13/2019 14:20:04,Hydreigon
6/13/2019 14:21:12,Wobbuffet
6/13/2019 14:20:10,Salamence
6/13/2019 14:20:22,Corsola
6/13/2019 14:20:22,Bayleef
6/13/2019 14:20:26,Arcanine
6/13/2019 14:20:31,Kyurem
6/13/2019 14:20:46,Durant
6/13/2019 14:20:38,Breloom
6/13/2019 14:20:42,Pyroar
6/13/2019 14:20:43,Ampharos
6/13/2019 14:20:44,Skiddo
6/13/2019 14:20:54,Donphan
6/13/2019 14:20:57,Victini
6/13/2019 14:21:04,Scyther
6/13/2019 14:21:15,Donphan
6/13/2019 14:21:16,Aipom
6/13/2019 14:21:19,Sableye
6/13/2019 14:21:20,Golurk
6/13/2019 14:21:21,Zigzagoon
6/13/2019 14:21:34,Typhlosion
6/13/2019 14:21:34,Escavalier
6/13/2019 14:21:43,Poliwrath
6/13/2019 14:21:43,Lucario
6/13/2019 14:21:47,Torterra
6/13/2019 14:21:51,Mudkip
6/13/2019 14:21:52,Nihilego
6/13/2019 14:22:06,Arcanine
6/13/2019 14:22:13,Lapras
6/13/2019 14:22:14,Sylveon
6/13/2019 14:22:15,Aggron
6/13/2019 14:22:18,Drifloon
6/13/2019 14:22:21,Porygon
6/13/2019 14:22:29,Furret
6/13/2019 14:22:30,Pikachu
6/13/2019 14:22:31,Greninja
6/13/2019 14:22:34,Feraligatr
6/13/2019 14:22:35,Toxicroak
6/13/2019 14:22:40,Lucario
6/13/2019 14:22:41,Miltank
6/13/2019 14:22:42,Mimikyu
6/13/2019 14:22:42,Dewpider
6/13/2019 14:22:43,Absol
6/13/2019 14:22:46,Gengar
6/13/2019 14:22:46,Gliscor
6/13/2019 14:22:50,Golurk
6/13/2019 14:22:51,Gardevoir
6/13/2019 14:22:55,Ampharos
6/13/2019 14:22:58,Joltik
6/13/2019 14:22:58,Chikorita
6/13/2019 14:27:31,Muk
6/13/2019 14:23:03,Arcanine
6/13/2019 14:23:05,Hawlucha
6/13/2019 14:23:10,Cubone
6/13/2019 14:23:14,Decidueye
6/13/2019 14:23:16,Espurr
6/13/2019 14:23:18,Magmar
6/13/2019 14:23:19,Noivern
6/13/2019 14:23:21,Machamp
6/13/2019 14:23:27,Luxray
6/13/2019 14:23:30,Tangela
6/13/2019 14:23:30,Metapod
6/13/2019 14:23:33,Azumarill
6/13/2019 14:23:38,Ditto
6/13/2019 14:23:39,Glaceon
6/13/2019 14:23:40,Torterra
6/13/2019 14:23:44,Blaziken
6/13/2019 14:23:47,Raichu
6/13/2019 14:23:48,Breloom
6/13/2019 14:23:49,Electabuzz
6/13/2019 14:23:49,Suicune
6/13/2019 14:23:51,Pinsir
6/13/2019 14:24:15,Arcanine
6/13/2019 14:24:01,Altaria
6/13/2019 14:24:03,Miltank
6/13/2019 14:24:04,Greninja
6/13/2019 14:24:05,Sceptile
6/13/2019 14:24:10,Infernape
6/13/2019 14:24:11,Yveltal
6/13/2019 14:24:13,Glaceon
6/13/2019 14:24:20,Azumarill
6/13/2019 14:24:21,Crobat
6/13/2019 14:24:21,Nidoking
6/13/2019 14:24:21,Gengar
6/13/2019 14:24:28,Cryogonal
6/13/2019 14:24:29,Ampharos
6/13/2019 14:24:33,Gardevoir
6/13/2019 14:24:34,Sceptile
6/13/2019 14:24:41,Piplup
6/13/2019 14:24:44,Scyther
6/13/2019 14:24:48,Mawile
6/13/2019 14:24:53,Nihilego
6/13/2019 14:24:55,Eevee
6/13/2019 14:24:56,Infernape
6/13/2019 14:24:57,Shedinja
6/13/2019 14:24:59,Garchomp
6/13/2019 14:25:03,Piplup
6/13/2019 14:25:05,Mareep
6/13/2019 14:25:06,Sneasel
6/13/2019 14:25:06,Mamoswine
6/13/2019 14:25:08,Mudkip
6/13/2019 14:25:09,Ditto
6/13/2019 14:25:09,Gliscor
6/13/2019 14:25:17,Bidoof
6/13/2019 14:25:13,Linoone
6/13/2019 14:25:18,Shinx
6/13/2019 14:25:18,Steelix
6/13/2019 14:25:24,Arcanine
6/13/2019 14:25:27,Raichu
6/13/2019 14:25:28,Slugma
6/13/2019 14:25:28,Blastoise
6/13/2019 14:25:31,Krookodile
6/13/2019 14:25:32,Leafeon
6/13/2019 14:25:37,Zekrom
6/13/2019 14:25:44,Dragalge
6/13/2019 14:25:46,Lotad
6/13/2019 14:25:53,Weavile
6/13/2019 14:26:03,Dunsparce
6/13/2019 14:26:05,Snubbull
6/13/2019 14:26:09,Ninetales
6/13/2019 14:26:12,Salazzle
6/13/2019 14:26:16,Mismagius
6/13/2019 14:26:16,Goodra
6/13/2019 14:26:19,Chimchar
6/13/2019 14:26:21,Magmar
6/13/2019 14:26:22,Sylveon
6/13/2019 14:26:28,Weavile
6/13/2019 14:26:28,Espeon
6/13/2019 14:26:28,Gengar
6/13/2019 14:26:28,Pidgey
6/13/2019 14:26:41,Kyogre
6/13/2019 14:26:42,Jirachi
6/13/2019 14:26:43,Flygon
6/13/2019 14:26:45,Rayquaza
6/13/2019 14:26:45,Manectric
6/13/2019 14:26:48,Smeargle
6/13/2019 14:26:50,Octillery
6/13/2019 14:26:50,Froslass
6/13/2019 14:26:53,Arcanine
6/13/2019 14:26:59,Scizor
6/13/2019 14:27:06,Aron
6/13/2019 14:27:09,Blastoise
6/13/2019 14:27:13,Ducklett
6/13/2019 14:27:15,Totodile
6/13/2019 14:27:17,Flygon
6/13/2019 14:27:22,Crobat
6/13/2019 14:27:26,Garchomp
6/13/2019 14:27:26,Sandshrew
6/13/2019 14:27:27,Kyogre
6/13/2019 14:27:27,Rayquaza
6/13/2019 14:27:39,Yanma
6/13/2019 14:27:41,Melmetal
6/13/2019 14:27:51,Corsola
6/13/2019 14:27:52,Reshiram
6/13/2019 14:27:52,Kyurem
6/13/2019 14:27:53,Garchomp
6/13/2019 14:28:00,Phanpy
6/13/2019 14:28:06,Sandile
6/13/2019 14:28:09,Ampharos
6/13/2019 14:28:10,Cherrim
6/13/2019 14:28:11,Golisopod
6/13/2019 14:28:16,Sableye
6/13/2019 14:28:17,Exeggutor
6/13/2019 14:28:22,Milotic
6/13/2019 14:28:22,Scizor
6/13/2019 14:28:24,Miltank
6/13/2019 14:28:25,Smeargle
6/13/2019 14:28:25,Exploud
6/13/2019 14:28:28,Cubone
6/13/2019 14:28:33,Greninja
6/13/2019 14:28:41,Umbreon
6/13/2019 14:28:52,Gengar
6/13/2019 14:28:54,Gardevoir
6/13/2019 14:28:54,Kecleon
6/13/2019 14:29:18,Primarina
6/13/2019 14:29:02,Dragonite
6/13/2019 14:29:03,Tyranitar
6/13/2019 14:29:05,Ribombee
6/13/2019 14:29:08,Volcarona
6/13/2019 14:29:09,Swampert
6/13/2019 14:29:14,Noctowl
6/13/2019 14:29:16,Hydreigon
