 Total battles: 752357
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 173  | Arctozolt          |  0.19771% | 2975   |  0.198% | 1269   |  0.186% | 
 | 174  | Klefki             |  0.19519% | 2937   |  0.195% | 1012   |  0.149% | 
 | 175  | Duraludon          |  0.19353% | 2912   |  0.194% | 1084   |  0.159% | 
 | 176  | Machamp            |  0.19160% | 2883   |  0.192% | 1370   |  0.201% | 
 | 177  | Crobat             |  0.18894% | 2843   |  0.189% | 1025   |  0.150% | 
 | 178  | Kingler            |  0.18748% | 2821   |  0.187% | 966    |  0.142% | 
 | 179  | Abomasnow          |  0.18130% | 2728   |  0.181% | 1205   |  0.177% | 
 | 180  | Accelgor           |  0.18057% | 2717   |  0.181% | 1383   |  0.203% | 
 | 181  | Regidrago          |  0.17751% | 2671   |  0.178% | 1002   |  0.147% | 
 | 182  | Drifblim           |  0.17711% | 2665   |  0.177% | 881    |  0.129% | 
 | 183  | Ninetales          |  0.17645% | 2655   |  0.176% | 1097   |  0.161% | 
 | 184  | Gigalith           |  0.17419% | 2621   |  0.174% | 1163   |  0.171% | 
 | 185  | Xurkitree          |  0.17159% | 2582   |  0.172% | 1062   |  0.156% | 
 | 186  | Rotom-Mow          |  0.17093% | 2572   |  0.171% | 882    |  0.129% | 
 | 187  | Jynx               |  0.16654% | 2506   |  0.167% | 1005   |  0.147% | 
 | 188  | Darmanitan         |  0.16143% | 2429   |  0.161% | 1148   |  0.168% | 
 | 189  | Exeggutor-Alola    |  0.15644% | 2354   |  0.156% | 1243   |  0.182% | 
 | 190  | Toxtricity         |  0.15471% | 2328   |  0.155% | 1003   |  0.147% | 
 | 191  | Turtonator         |  0.15418% | 2320   |  0.154% | 796    |  0.117% | 
 | 192  | Slowbro            |  0.15232% | 2292   |  0.152% | 789    |  0.116% | 
 | 193  | Registeel          |  0.15206% | 2288   |  0.152% | 860    |  0.126% | 
 | 194  | Braviary           |  0.15192% | 2286   |  0.152% | 755    |  0.111% | 
 | 195  | Dugtrio            |  0.15172% | 2283   |  0.152% | 920    |  0.135% | 
 | 196  | Gardevoir          |  0.14568% | 2192   |  0.146% | 734    |  0.108% | 
 | 197  | Vikavolt           |  0.14408% | 2168   |  0.144% | 924    |  0.136% | 
 | 198  | Blissey            |  0.14189% | 2135   |  0.142% | 866    |  0.127% | 
 | 199  | Salazzle           |  0.14082% | 2119   |  0.141% | 734    |  0.108% | 
 | 200  | Mandibuzz          |  0.14023% | 2110   |  0.140% | 600    |  0.088% | 
 | 201  | Leafeon            |  0.13717% | 2064   |  0.137% | 854    |  0.125% | 
 | 202  | Durant             |  0.13385% | 2014   |  0.134% | 678    |  0.100% | 
 | 203  | Golisopod          |  0.13165% | 1981   |  0.132% | 894    |  0.131% | 
 | 204  | Alakazam           |  0.13132% | 1976   |  0.131% | 648    |  0.095% | 
 | 205  | Palossand          |  0.13052% | 1964   |  0.131% | 615    |  0.090% | 
 | 206  | Manectric          |  0.13052% | 1964   |  0.131% | 815    |  0.120% | 
 | 207  | Froslass           |  0.12986% | 1954   |  0.130% | 914    |  0.134% | 
 | 208  | Reuniclus          |  0.12933% | 1946   |  0.129% | 615    |  0.090% | 
 | 209  | Toxicroak          |  0.12800% | 1926   |  0.128% | 719    |  0.106% | 
 | 210  | Frosmoth           |  0.12541% | 1887   |  0.125% | 651    |  0.096% | 
 | 211  | Naganadel          |  0.12268% | 1846   |  0.123% | 696    |  0.102% | 
 | 212  | Gallade            |  0.12155% | 1829   |  0.122% | 501    |  0.074% | 
 | 213  | Nidoking           |  0.11557% | 1739   |  0.116% | 774    |  0.114% | 
 | 214  | Lurantis           |  0.11504% | 1731   |  0.115% | 672    |  0.099% | 
 | 215  | Raichu-Alola       |  0.11411% | 1717   |  0.114% | 658    |  0.097% | 
 | 216  | Orbeetle           |  0.11384% | 1713   |  0.114% | 758    |  0.111% | 
 | 217  | Aerodactyl         |  0.11231% | 1690   |  0.112% | 635    |  0.093% | 
 | 218  | Jolteon            |  0.11172% | 1681   |  0.112% | 762    |  0.112% | 
 | 219  | Tapu Bulu          |  0.11165% | 1680   |  0.112% | 556    |  0.082% | 
 | 220  | Drampa             |  0.11105% | 1671   |  0.111% | 711    |  0.104% | 
 | 221  | Quagsire           |  0.11025% | 1659   |  0.110% | 627    |  0.092% | 
 | 222  | Exeggutor          |  0.10966% | 1650   |  0.110% | 686    |  0.101% | 
 | 223  | Magnezone          |  0.10932% | 1645   |  0.109% | 579    |  0.085% | 
 | 224  | Mantine            |  0.10826% | 1629   |  0.108% | 612    |  0.090% | 
 | 225  | Luxray             |  0.10547% | 1587   |  0.105% | 646    |  0.095% | 
 | 226  | Boltund            |  0.10447% | 1572   |  0.104% | 476    |  0.070% | 
 | 227  | Hawlucha           |  0.10381% | 1562   |  0.104% | 639    |  0.094% | 
 | 228  | Noivern            |  0.10321% | 1553   |  0.103% | 461    |  0.068% | 
 | 229  | Tauros             |  0.09922% | 1493   |  0.099% | 572    |  0.084% | 
 | 230  | Decidueye          |  0.09902% | 1490   |  0.099% | 551    |  0.081% | 
 | 231  | Hippowdon          |  0.09836% | 1480   |  0.098% | 575    |  0.084% | 
 | 232  | Dhelmise           |  0.09603% | 1445   |  0.096% | 592    |  0.087% | 
 | 233  | Regirock           |  0.09563% | 1439   |  0.096% | 564    |  0.083% | 
 | 234  | Morpeko            |  0.09477% | 1426   |  0.095% | 631    |  0.093% | 
 | 235  | Guzzlord           |  0.09417% | 1417   |  0.094% | 603    |  0.088% | 
 | 236  | Shiftry            |  0.09304% | 1400   |  0.093% | 572    |  0.084% | 
 | 237  | Stonjourner        |  0.09291% | 1398   |  0.093% | 586    |  0.086% | 
 | 238  | Espeon             |  0.09145% | 1376   |  0.091% | 510    |  0.075% | 
 | 239  | Maractus           |  0.09071% | 1365   |  0.091% | 484    |  0.071% | 
